Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,1402.6,1233.0,1653.0,1408.0,1411.0,1.0,0.3,1068.8
2.6,1116.8,989.0,1329.0,1109.0,1122.0,1.0,0.3,848.4
2.7,888.1,784.0,1062.0,866.0,876.0,1.0,0.3,678.3
2.8,708.8,613.0,820.0,694.0,705.0,1.0,0.3,540.7
2.9,557.3,483.0,645.0,547.0,550.0,1.0,0.3,425.9
3.0,445.1,393.0,515.0,436.0,436.0,1.0,0.3,336.5
3.1,352.3,302.0,402.0,345.0,353.0,1.0,0.3,269.8
3.2,279.4,231.0,316.0,277.0,284.0,1.0,0.3,214.1
3.3,222.1,168.0,259.0,219.0,226.0,1.0,0.3,169.6
3.4,177.1,130.0,210.0,180.0,188.0,1.0,0.3,135.1
3.5,140.6,100.0,156.0,145.0,156.0,1.0,0.3,106.5
3.6,111.8,80.0,129.0,115.0,129.0,1.0,0.3,85.0
3.7,87.7,65.0,101.0,89.0,93.0,1.0,0.3,67.9
3.8,69.0,53.0,82.0,66.0,60.0,1.0,0.3,54.5
3.9,53.7,38.0,67.0,50.0,59.0,1.0,0.3,42.0
4.0,44.5,30.0,53.0,43.0,52.0,1.0,0.3,34.8
4.1,34.3,22.0,46.0,32.0,37.0,1.0,0.3,26.8
4.2,27.3,16.0,35.0,26.0,25.0,1.0,0.3,21.0
4.3,21.5,14.0,28.0,21.0,23.0,1.0,0.3,16.1
4.4,17.2,11.0,25.0,17.0,19.0,1.0,0.3,13.3
4.5,13.5,9.0,20.0,11.0,9.0,1.0,0.3,10.3
4.6,9.8,4.0,16.0,10.0,10.0,1.0,0.3,7.9
4.7,8.1,2.0,13.0,8.0,8.0,1.0,0.3,6.7
4.8,6.6,1.0,10.0,7.0,10.0,1.0,0.3,5.5
4.9,5.3,1.0,9.0,5.0,3.0,1.0,0.3,4.5
5.0,4.5,0.0,8.0,3.0,3.0,0.9,0.3,3.8
5.1,3.1,0.0,6.0,3.0,3.0,0.9,0.3,2.8
5.2,2.5,0.0,4.0,3.0,3.0,0.9,0.3,2.2
5.3,2.1,0.0,3.0,2.0,3.0,0.9,0.3,1.9
5.4,1.6,0.0,3.0,1.0,3.0,0.7,0.3,1.4
5.5,1.4,0.0,3.0,1.0,2.0,0.7,0.3,1.3
5.6,1.0,0.0,2.0,1.0,1.0,0.7,0.3,0.9
5.7,0.9,0.0,2.0,1.0,0.0,0.6,0.3,0.8
5.8,0.8,0.0,2.0,0.0,0.0,0.5,0.3,0.7
5.9,0.7,0.0,2.0,0.0,0.0,0.5,0.3,0.6
6.0,0.6,0.0,2.0,0.0,0.0,0.4,0.3,0.5
6.1,0.6,0.0,2.0,0.0,0.0,0.4,0.3,0.5
6.2,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
